_id,tripduration,start station id,start station name,end station id,end station name,bikeid,usertype,birth year,gender,start station location,end station location,start time,stop time
572bb8232b288919b68afc8f,1858,445,E 10 St & Avenue A,331,Pike St & Monroe St,20298,Customer,0,0,"{'$numberDouble': '-73.98142006'}, {'$numberDouble': '40.72740794'}","{'$numberDouble': '-73.99193043'}, {'$numberDouble': '40.71173107'}",2016-01-02T12:47:48,2016-01-02T13:18:47
572bb8232b288919b68afc96,1169,382,University Pl & E 14 St,348,W Broadway & Spring St,23811,Subscriber,1979,2,"{'$numberDouble': '-73.99200509'}, {'$numberDouble': '40.73492695'}","{'$numberDouble': '-74.00154702'}, {'$numberDouble': '40.72490985'}",2016-01-02T12:47:59,2016-01-02T13:07:29
572bb8232b288919b68afc97,1751,368,Carmine St & 6 Ave,285,Broadway & E 14 St,14958,Subscriber,1981,1,"{'$numberDouble': '-74.00214988'}, {'$numberDouble': '40.73038599'}","{'$numberDouble': '-73.99074142'}, {'$numberDouble': '40.73454567'}",2016-01-02T12:48:00,2016-01-02T13:17:12
572bb8232b288919b68afc9c,443,382,University Pl & E 14 St,463,9 Ave & W 16 St,23747,Subscriber,1975,1,"{'$numberDouble': '-73.99200509'}, {'$numberDouble': '40.73492695'}","{'$numberDouble': '-74.00443172'}, {'$numberDouble': '40.74206539'}",2016-01-02T12:48:16,2016-01-02T12:55:40
572bb8232b288919b68afc9f,816,295,Pike St & E Broadway,340,Madison St & Clinton St,20557,Subscriber,1977,1,"{'$numberDouble': '-73.99293911'}, {'$numberDouble': '40.71406667'}","{'$numberDouble': '-73.98776323'}, {'$numberDouble': '40.71269042'}",2016-01-02T12:48:17,2016-01-02T13:01:54
572bb8232b288919b68afca8,1220,478,11 Ave & W 41 St,238,Bank St & Washington St,23548,Subscriber,1985,1,"{'$numberDouble': '-73.99884222'}, {'$numberDouble': '40.76030096'}","{'$numberDouble': '-74.00859207'}, {'$numberDouble': '40.7361967'}",2016-01-02T12:48:45,2016-01-02T13:09:05
572bb8232b288919b68afca9,622,3224,W 13 St & Hudson St,375,Mercer St & Bleecker St,17577,Subscriber,1983,2,"{'$numberDouble': '-74.00513872504234'}, {'$numberDouble': '40.73997354103409'}","{'$numberDouble': '-73.99695094'}, {'$numberDouble': '40.72679454'}",2016-01-02T12:48:46,2016-01-02T12:59:09
572bb8232b288919b68afcaa,1364,167,E 39 St & 3 Ave,3136,5 Ave & E 63 St,16227,Customer,0,0,"{'$numberDouble': '-73.97604882'}, {'$numberDouble': '40.7489006'}","{'$numberDouble': '-73.97147595'}, {'$numberDouble': '40.76650452'}",2016-01-02T12:48:46,2016-01-02T13:11:31
572bb8232b288919b68afcab,491,394,E 9 St & Avenue C,357,E 11 St & Broadway,17623,Subscriber,1976,1,"{'$numberDouble': '-73.97768752'}, {'$numberDouble': '40.72521311'}","{'$numberDouble': '-73.99158043'}, {'$numberDouble': '40.73261787'}",2016-01-02T12:48:51,2016-01-02T12:57:02
572bb8232b288919b68afcb8,320,368,Carmine St & 6 Ave,435,W 21 St & 6 Ave,23362,Subscriber,1985,2,"{'$numberDouble': '-74.00214988'}, {'$numberDouble': '40.73038599'}","{'$numberDouble': '-73.99415556'}, {'$numberDouble': '40.74173969'}",2016-01-02T12:49:13,2016-01-02T12:54:34
572bb8232b288919b68afcb9,552,260,Broad St & Bridge St,146,Hudson St & Reade St,24506,Subscriber,1956,1,"{'$numberDouble': '-74.01167797'}, {'$numberDouble': '40.70365182'}","{'$numberDouble': '-74.0091059'}, {'$numberDouble': '40.71625008'}",2016-01-02T12:49:14,2016-01-02T12:58:26
572bb8232b288919b68afcba,533,320,Leonard St & Church St,327,Vesey Pl & River Terrace,17227,Subscriber,1974,1,"{'$numberDouble': '-74.005549'}, {'$numberDouble': '40.717571'}","{'$numberDouble': '-74.01658354'}, {'$numberDouble': '40.7153379'}",2016-01-02T12:49:22,2016-01-02T12:58:15
572bb8232b288919b68afcbb,1471,3168,Central Park West & W 85 St,2006,Central Park S & 6 Ave,17040,Customer,0,0,"{'$numberDouble': '-73.96961715'}, {'$numberDouble': '40.78472675'}","{'$numberDouble': '-73.97634151'}, {'$numberDouble': '40.76590936'}",2016-01-02T12:49:22,2016-01-02T13:13:54
572bb8232b288919b68afcbd,306,3160,Central Park West & W 76 St,3164,Columbus Ave & W 72 St,22401,Customer,0,0,"{'$numberDouble': '-73.97374737'}, {'$numberDouble': '40.77896784'}","{'$numberDouble': '-73.97898475'}, {'$numberDouble': '40.7770575'}",2016-01-02T12:49:26,2016-01-02T12:54:32
572bb8232b288919b68afcc4,1398,532,S 5 Pl & S 4 St,401,Allen St & Rivington St,20000,Customer,0,0,"{'$numberDouble': '-73.960876'}, {'$numberDouble': '40.710451'}","{'$numberDouble': '-73.98997825'}, {'$numberDouble': '40.72019576'}",2016-01-02T12:49:48,2016-01-02T13:13:06
572bb8232b288919b68afcc5,533,250,Lafayette St & Jersey St,247,Perry St & Bleecker St,24239,Subscriber,1987,1,"{'$numberDouble': '-73.99565293'}, {'$numberDouble': '40.72456089'}","{'$numberDouble': '-74.00483091'}, {'$numberDouble': '40.73535398'}",2016-01-02T12:49:48,2016-01-02T12:58:41
572bb8232b288919b68afcd1,248,2021,W 45 St & 8 Ave,469,Broadway & W 53 St,18693,Subscriber,1965,1,"{'$numberDouble': '-73.98859651'}, {'$numberDouble': '40.75929124'}","{'$numberDouble': '-73.98268129'}, {'$numberDouble': '40.76344058'}",2016-01-02T12:50:12,2016-01-02T12:54:21
572bb8232b288919b68afcd2,217,459,W 20 St & 11 Ave,453,W 22 St & 8 Ave,17356,Subscriber,1973,1,"{'$numberDouble': '-74.007756'}, {'$numberDouble': '40.746745'}","{'$numberDouble': '-73.99915362'}, {'$numberDouble': '40.74475148'}",2016-01-02T12:49:22,2016-01-02T12:53:00
572bb8232b288919b68afcd5,868,3098,Leonard St & Bayard St,3113,Greenpoint Ave & Manhattan Ave,24329,Subscriber,1985,1,"{'$numberDouble': '-73.94861'}, {'$numberDouble': '40.71928'}","{'$numberDouble': '-73.95394'}, {'$numberDouble': '40.73026'}",2016-01-02T12:50:20,2016-01-02T13:04:48
572bb8232b288919b68afcd6,257,483,E 12 St & 3 Ave,504,1 Ave & E 15 St,22198,Subscriber,1953,1,"{'$numberDouble': '-73.98889957'}, {'$numberDouble': '40.73223272'}","{'$numberDouble': '-73.98165557'}, {'$numberDouble': '40.73221853'}",2016-01-02T12:50:22,2016-01-02T12:54:40
572bb8232b288919b68afcd7,484,223,W 13 St & 7 Ave,357,E 11 St & Broadway,21968,Subscriber,1989,2,"{'$numberDouble': '-73.99994661'}, {'$numberDouble': '40.73781509'}","{'$numberDouble': '-73.99158043'}, {'$numberDouble': '40.73261787'}",2016-01-02T12:50:23,2016-01-02T12:58:28
572bb8232b288919b68afcdb,2037,316,Fulton St & William St,224,Spruce St & Nassau St,21170,Subscriber,1988,1,"{'$numberDouble': '-74.00653609'}, {'$numberDouble': '40.70955958'}","{'$numberDouble': '-74.00552427'}, {'$numberDouble': '40.71146364'}",2016-01-02T12:50:25,2016-01-02T13:24:22
572bb8232b288919b68afcdc,2004,304,Broadway & Battery Pl,72,W 52 St & 11 Ave,24013,Subscriber,1987,2,"{'$numberDouble': '-74.01361706'}, {'$numberDouble': '40.70463334'}","{'$numberDouble': '-73.99392888'}, {'$numberDouble': '40.76727216'}",2016-01-02T12:50:34,2016-01-02T13:23:59
572bb8232b288919b68afcdd,677,3222,Hanson Pl & St Felix St,313,Washington Ave & Park Ave,15474,Subscriber,1966,2,"{'$numberDouble': '-73.97711366415024'}, {'$numberDouble': '40.685159599891776'}","{'$numberDouble': '-73.96751037'}, {'$numberDouble': '40.69610226'}",2016-01-02T12:50:31,2016-01-02T13:01:48
572bb8232b288919b68afcde,653,394,E 9 St & Avenue C,268,Howard St & Centre St,17688,Subscriber,1990,1,"{'$numberDouble': '-73.97768752'}, {'$numberDouble': '40.72521311'}","{'$numberDouble': '-73.99973337'}, {'$numberDouble': '40.71910537'}",2016-01-02T12:50:39,2016-01-02T13:01:33
572bb8232b288919b68afcdf,378,490,8 Ave & W 33 St,450,W 49 St & 8 Ave,19236,Subscriber,1985,1,"{'$numberDouble': '-73.993934'}, {'$numberDouble': '40.751551'}","{'$numberDouble': '-73.98788205'}, {'$numberDouble': '40.76227205'}",2016-01-02T12:50:41,2016-01-02T12:56:59
572bb8232b288919b68afce8,499,488,W 39 St & 9 Ave,509,9 Ave & W 22 St,21916,Customer,0,0,"{'$numberDouble': '-73.99372222'}, {'$numberDouble': '40.75645824'}","{'$numberDouble': '-74.00197139'}, {'$numberDouble': '40.7454973'}",2016-01-02T12:50:45,2016-01-02T12:59:04
572bb8232b288919b68afcea,427,435,W 21 St & 6 Ave,509,9 Ave & W 22 St,22469,Subscriber,1969,2,"{'$numberDouble': '-73.99415556'}, {'$numberDouble': '40.74173969'}","{'$numberDouble': '-74.00197139'}, {'$numberDouble': '40.7454973'}",2016-01-02T12:50:54,2016-01-02T12:58:02
